Source Plate Name,Source Plate Type,Source Well,Sample ID,Sample Name,Sample Group,Sample Comment,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,F3,,DNA_2,DNA_Stock1,,Destination[1],B2,1175
Source[1],384PP_AQ_BP,F3,,DNA_1,DNA_Stock1,,Destination[1],B3,1375
Source[1],384PP_AQ_BP,F3,,DNA_0.5,DNA_Stock1,,Destination[1],B4,1500
Source[1],384PP_AQ_BP,F3,,DNA_0.25,DNA_Stock2,,Destination[1],B5,1325
Source[1],384PP_AQ_BP,F3,,DNA_0.125,DNA_Stock2,,Destination[1],B6,1475
Source[1],384PP_AQ_BP,F3,,DNA_0.0625,DNA_Stock2,,Destination[1],B7,1525
Source[1],384PP_AQ_BP,F3,,DNA_2,DNA_Stock1,,Destination[1],C2,1175
Source[1],384PP_AQ_BP,F3,,DNA_1,DNA_Stock1,,Destination[1],C3,1375
Source[1],384PP_AQ_BP,F3,,DNA_0.5,DNA_Stock1,,Destination[1],C4,1500
Source[1],384PP_AQ_BP,F3,,DNA_0.25,DNA_Stock2,,Destination[1],C5,1325
Source[1],384PP_AQ_BP,F3,,DNA_0.125,DNA_Stock2,,Destination[1],C6,1475
Source[1],384PP_AQ_BP,F3,,DNA_0.0625,DNA_Stock2,,Destination[1],C7,1525
Source[1],384PP_AQ_BP,F3,,DNA_2,DNA_Stock1,,Destination[1],D2,1175
Source[1],384PP_AQ_BP,F3,,DNA_1,DNA_Stock1,,Destination[1],D3,1375
Source[1],384PP_AQ_BP,F3,,DNA_0.5,DNA_Stock1,,Destination[1],D4,1500
Source[1],384PP_AQ_BP,F3,,DNA_0.25,DNA_Stock2,,Destination[1],D5,1325
Source[1],384PP_AQ_BP,F3,,DNA_0.125,DNA_Stock2,,Destination[1],D6,1475
Source[1],384PP_AQ_BP,F3,,DNA_0.0625,DNA_Stock2,,Destination[1],D7,1525
Source[1],384PP_AQ_BP,G2,,DNA_2,DNA_Stock1,,Destination[1],B2,425
Source[1],384PP_AQ_BP,G2,,DNA_1,DNA_Stock1,,Destination[1],B3,225
Source[1],384PP_AQ_BP,G2,,DNA_0.5,DNA_Stock1,,Destination[1],B4,100
Source[1],384PP_AQ_BP,G4,,DNA_0.25,DNA_Stock2,,Destination[1],B5,275
Source[1],384PP_AQ_BP,G4,,DNA_0.125,DNA_Stock2,,Destination[1],B6,125
Source[1],384PP_AQ_BP,G4,,DNA_0.0625,DNA_Stock2,,Destination[1],B7,75
Source[1],384PP_AQ_BP,G2,,DNA_2,DNA_Stock1,,Destination[1],C2,425
Source[1],384PP_AQ_BP,G2,,DNA_1,DNA_Stock1,,Destination[1],C3,225
Source[1],384PP_AQ_BP,G2,,DNA_0.5,DNA_Stock1,,Destination[1],C4,100
Source[1],384PP_AQ_BP,G4,,DNA_0.25,DNA_Stock2,,Destination[1],C5,275
Source[1],384PP_AQ_BP,G4,,DNA_0.125,DNA_Stock2,,Destination[1],C6,125
Source[1],384PP_AQ_BP,G4,,DNA_0.0625,DNA_Stock2,,Destination[1],C7,75
Source[1],384PP_AQ_BP,G2,,DNA_2,DNA_Stock1,,Destination[1],D2,425
Source[1],384PP_AQ_BP,G2,,DNA_1,DNA_Stock1,,Destination[1],D3,225
Source[1],384PP_AQ_BP,G2,,DNA_0.5,DNA_Stock1,,Destination[1],D4,100
Source[1],384PP_AQ_BP,G4,,DNA_0.25,DNA_Stock2,,Destination[1],D5,275
Source[1],384PP_AQ_BP,G4,,DNA_0.125,DNA_Stock2,,Destination[1],D6,125
Source[1],384PP_AQ_BP,G4,,DNA_0.0625,DNA_Stock2,,Destination[1],D7,75
