timepoints,deGFP1,deGFP2,deGFP3
6,29,31,30
186,30,27,31
366,29,31,32
546,27,29,29
726,26,28,31
906,26,30,29
1086,26,33,28
1266,28,32,25
1446,38,28,28
1626,27,29,30
1806,30,36,31
1986,27,24,32
2166,31,33,28
2346,32,27,29
2526,28,27,31
2706,33,29,26
2886,26,30,35
3066,30,31,31
3246,31,29,34
3426,32,29,29
3606,28,32,29
3786,30,29,33
3966,29,29,30
4146,28,28,34
4326,28,27,27
4506,29,32,29
4686,33,31,27
4866,33,30,29
5046,35,27,38
5226,36,25,32
5406,32,34,33
5586,28,29,31
5766,28,28,29
5946,30,28,35
6126,25,31,31
6306,31,33,34
6486,27,29,36
6666,33,26,34
6846,30,30,33
7026,32,41,31
7206,29,33,34
7386,28,27,31
7566,24,36,35
7746,28,33,37
7926,30,27,32
8106,31,31,31
8286,34,32,35
8466,30,29,34
8646,30,34,31
8826,35,34,34
9006,31,29,34
9186,32,36,29
9366,28,35,28
9546,34,41,35
9726,30,35,33
9906,35,32,32
10086,33,34,32
10266,34,31,31
10446,29,32,35
10626,33,36,32
10806,34,29,37
10986,34,35,33
11166,31,34,32
11346,35,30,37
11526,36,34,31
11706,33,36,34
11886,29,35,34
12066,34,28,33
12246,30,36,40
12426,34,36,36
12606,30,38,31
12786,35,40,36
12966,35,33,33
13146,38,41,36
13326,37,38,36
13506,37,35,34
13686,31,35,34
13866,34,35,36
14046,36,40,37
14226,35,36,38
14406,34,42,35
14586,32,37,34
14766,38,36,33
14946,35,41,33
15126,37,35,36
15306,35,40,36
15486,36,39,34
15666,38,37,36
15846,31,34,31
16026,36,39,39
16206,35,36,37
16386,33,38,35
16566,41,38,38
16746,36,37,44
16926,35,40,40
17106,36,40,38
17286,37,43,40
17466,36,39,42
17646,36,41,40
17826,36,39,40
18006,36,42,35
18186,45,35,33
18366,38,41,41
18546,37,41,48
18726,43,43,41
18906,41,40,52
19086,38,37,40
19266,34,42,45
19446,43,35,48
19626,39,38,44
19806,41,38,36
19986,38,36,44
20166,41,44,35
20346,45,39,40
20526,42,45,40
20706,35,36,41
20886,40,40,43
21066,44,40,35
21246,40,42,43
21426,38,39,40
21606,39,40,42
21786,42,38,42
21966,39,42,42
22146,40,38,42
22326,36,43,44
22506,37,48,38
22686,46,46,41
22866,37,44,38
23046,41,43,41
23226,41,38,44
23406,38,43,39
23586,39,40,39
23766,44,44,39
23946,39,41,41
24126,34,45,36
24306,36,41,41
24486,32,42,40
24666,41,39,42
24846,42,46,37
25026,47,43,43
25206,43,43,45
25386,38,44,40
25566,39,40,45
25746,42,45,41
25926,38,39,39
26106,44,41,39
26286,44,38,42
26466,37,44,45
26646,44,39,33
26826,42,42,42
27006,43,39,42
27186,40,42,36
27366,39,44,42
27546,37,45,42
27726,41,46,36
27906,40,38,36
28086,45,49,42
28266,47,46,43
28446,33,39,44
28626,45,40,47
28806,38,44,44
28986,44,43,42
29166,46,45,39
29346,42,39,35
29526,45,39,40
29706,41,47,39
29886,43,42,44
30066,38,45,44
30246,45,40,38
30426,42,43,41
30606,41,40,46
30786,42,44,45
30966,43,42,40
31146,46,42,45
31326,38,44,38
31506,42,37,43
31686,36,41,34
31866,39,45,40
32046,37,40,45
32226,51,47,41
32406,37,38,46
32586,33,50,39
32766,37,38,39
32946,45,45,40
33126,40,43,35
33306,41,41,40
33486,39,43,38
33666,36,36,44
33846,41,44,39
34026,38,40,45
34206,45,49,39
34386,38,47,42
34566,37,46,42
34746,40,40,43
34926,39,46,37
35106,39,46,42
35286,44,40,44
35466,45,42,43
35646,49,40,43
35826,41,42,38
36006,43,40,42
36186,36,42,33
36366,37,38,39
36546,39,41,40
36726,45,42,40
36906,37,45,43
37086,42,51,37
37266,38,44,42
37446,48,42,44
37626,44,43,36
37806,42,40,44
37986,41,44,43
38166,41,40,44
38346,46,41,39
38526,36,40,41
38706,40,44,35
38886,39,45,37
39066,47,39,29
39246,42,43,42
39426,35,44,38
39606,44,48,46
39786,34,45,43
39966,33,39,41
40146,43,41,41
40326,44,37,40
40506,41,39,42
40686,47,38,35
40866,44,35,40
41046,43,43,42
41226,35,47,39
41406,41,45,42
41586,43,43,35
41766,45,40,34
41946,37,42,45
42126,50,49,42
42306,35,44,44
42486,41,39,39
42666,36,44,39
42846,37,38,33
43026,44,41,40
43206,35,45,38
